Date,A,B,C,D,E,F
11/3/2018,15,21,24,32,65,11
10/31/2018,7,25,39,40,47,20
10/27/2018,8,12,13,19,27,4
10/24/2018,3,21,45,53,56,22
10/20/2018,16,54,57,62,69,23
10/17/2018,3,57,64,68,69,15
10/13/2018,11,14,32,43,65,15
10/10/2018,8,23,27,42,60,7
10/6/2018,1,22,27,53,67,15
10/3/2018,41,53,59,63,66,3
9/29/2018,9,17,34,59,64,22
9/26/2018,1,2,7,30,50,8
9/22/2018,24,61,63,64,69,18
9/19/2018,4,39,48,50,51,11
9/15/2018,2,18,19,24,34,3
9/12/2018,6,28,48,63,64,24
9/8/2018,3,13,20,32,33,21
9/5/2018,6,15,50,59,60,13
9/1/2018,11,54,55,61,66,9
8/29/2018,25,41,53,57,67,12
8/25/2018,20,25,54,57,63,8
8/22/2018,1,7,45,47,69,13
8/18/2018,24,34,52,61,67,16
8/15/2018,12,15,28,47,48,16
8/11/2018,5,43,56,62,68,24
8/8/2018,10,21,30,43,63,17
8/4/2018,3,11,38,44,58,2
8/1/2018,5,22,32,38,58,26
7/28/2018,22,27,46,56,65,13
7/25/2018,2,18,41,44,64,26
7/21/2018,9,23,56,58,68,1
7/18/2018,1,10,27,28,36,12
7/14/2018,22,41,42,49,67,11
7/11/2018,19,21,27,46,47,7
7/7/2018,1,10,43,45,64,22
7/4/2018,4,7,15,41,44,10
6/30/2018,3,9,20,42,61,24
6/27/2018,7,28,37,62,63,15
6/23/2018,16,29,43,45,56,25
6/20/2018,4,14,23,27,56,13
6/16/2018,9,45,57,58,65,9
6/13/2018,13,20,38,45,55,1
6/9/2018,6,10,15,25,36,14
6/6/2018,23,28,41,53,56,14
6/2/2018,23,25,37,44,64,7
5/30/2018,17,23,26,46,68,20
5/26/2018,1,21,31,45,49,21
5/23/2018,20,54,56,61,64,7
5/19/2018,3,6,9,17,56,25
5/16/2018,17,19,21,22,51,19
5/12/2018,22,42,45,55,56,14
5/9/2018,11,16,38,50,69,19
5/5/2018,14,29,36,57,61,17
5/2/2018,5,14,31,40,50,6
4/28/2018,20,22,28,45,50,8
4/25/2018,17,18,39,56,64,12
4/21/2018,40,50,54,62,69,19
4/18/2018,9,10,12,17,23,9
4/14/2018,17,19,26,61,62,15
4/11/2018,16,18,27,55,67,18
4/7/2018,2,17,20,38,39,20
4/4/2018,8,24,42,54,64,24
3/31/2018,8,24,52,55,61,21
3/28/2018,6,8,26,52,53,21
3/24/2018,10,33,45,53,56,24
3/21/2018,3,4,18,29,61,25
3/17/2018,22,57,59,60,66,7
3/14/2018,6,12,24,41,68,9
3/10/2018,43,44,54,61,69,22
3/7/2018,6,13,19,36,51,18
3/3/2018,13,17,25,36,40,5
2/28/2018,12,30,59,65,69,16
2/24/2018,24,25,38,62,63,6
2/21/2018,7,15,31,34,36,8
2/17/2018,13,26,39,44,62,2
2/14/2018,37,39,44,46,69,26
2/10/2018,1,13,27,41,59,20
2/7/2018,23,34,35,40,47,10
2/3/2018,15,23,27,48,53,6
1/31/2018,4,7,14,46,59,22
1/27/2018,17,21,26,47,54,7
1/24/2018,5,9,11,33,64,21
1/20/2018,26,28,47,49,58,3
1/17/2018,3,33,37,51,57,21
1/13/2018,14,25,35,58,69,24
1/10/2018,7,24,33,49,50,4
1/6/2018,12,29,30,33,61,26
1/3/2018,2,18,37,39,42,12
